,Name,Ticker,marketCap,pbRatio,peRatio,divYield,bookValue,epsTtm,roe,industryPe,cappedType,dividendYieldInPercent,faceValue,returnOnAssets,operatingProfitMargin,netProfitMargin,evToSales,evToEbitda,earningsYield,sectorPb,sectorDivYield,sectorRoe,sectorRoce,priceToOcf,priceToFcf,roic,pePremiumVsSector,pbPremiumVsSector,divYieldVsSector,sectorPe,priceToSales,pegRatio
10,Max Healthcare Institute,MAXHEALTH,78151.48,9.96,73.91,0.12,80.7310653,10.88,12.619,67.44843133666785,Large Cap,0.12,10,2.6793264346418946,31.244432558685396,20.336576478125608,15.163251328009112,30.47,0.12423565107148324,8.921600509683813,0.18662645103745495,12.896714038592288,11.086787996843354,147.14190499501063,86.88,16.437299338299113,0.09580013256467468,0.11639161484411598,-0.06662645103745496,67.44843133666785,15.38,0.47183157894736844
11,Solar Industries India,SOLARINDS,78321.4,27.4,97.05,0.09,315.9107386,89.18,28.2728,47.692910492828744,Large Cap,0.09,2,4.371813833043497,22.054373096824186,12.634034458734842,12.400995718099054,26.18,0.09243961420505764,10.01342756745153,0.5930219609778963,21.2110686975042,11.056293171908214,116.27286223277909,304.22,25.51167770913819,1.034893635073765,1.7363257801018324,-0.5030219609778963,47.692910492828744,12.28,0.568741806615776
12,Polycab India,POLYCAB,79889.71,11.1,48.04,0.37,478.9359725,110.68,22.3427,44.57405104209248,Large Cap,0.37,10,4.527036463989724,15.216415253979577,9.914538170426376,4.668812543862316,21.56,0.37494190428279184,7.4153785523972795,0.33597668948328624,13.953090940917578,12.823503396979618,272.68904666006756,75.97,25.190089680850836,0.07775710030561345,0.49688919069567095,0.034023310516713756,44.57405104209248,4.68,0.8594212871287128
13,CG Power & Industrial Solutions,CGPOWER,78558.38,35.26,48.52,0.29,14.5865789,10.6,39.1889,77.84219916443516,Large Cap,0.29,2,4.659493347494102,25.281775932861073,11.074055214288938,9.99466549783745,34.94,0.29159524419928207,8.631462954918414,0.17264536551136458,8.584926522317764,6.1752565338990175,322.60843497186977,90.16,54.10564512591177,-0.37668770254671835,3.085054895579203,0.1173546344886354,77.84219916443516,10.05,-150.74894999999654
14,SRF,SRF,76646.57,7.06,51.93,0.28,366.0555362,49.79,15.9736,42.296688502061656,Large Cap,0.28,10,2.0718367764047416,22.111472881566442,11.246421558505089,6.202306813687875,20.93,0.2794081979141402,4.689428384313483,0.6061709369008352,10.69154825785023,9.45745867768827,77.2164272329794,316.01,10.907342067773014,0.22775569055409117,0.5055139819634031,-0.3261709369008352,42.296688502061656,5.85,2.287465723612621
15,Oracle Financial Services Software,OFSS,76027.94,11.7,35.55,2.56,749.5407527,246.74,28.2475,30.292370582604843,Large Cap,2.56,5,6.2046141040121645,48.701024344303534,34.48679576329132,11.589594648639583,8.56,2.556954719541263,8.073141815798378,2.129552408102215,26.14271504587039,23.099079927487345,97.6683067199363,43.9,100.47454587374251,0.1735628251033714,0.449249903811203,0.43044759189778503,30.292370582604843,12.29,-3.4357688442211094
16,Colgate-Palmolive (India),COLPAL,74245.28,42.11,58.92,1.43,64.8272682,46.33,66.5372,58.37532641823917,Large Cap,1.43,1,10.801603223383417,34.029401239916375,23.169506703649816,13.153258458805386,25.25,1.4287776946898174,14.25445357442099,1.0559643325493346,23.47424136582803,19.95482842280024,86.15940212598059,66.35,233.40957156806076,0.00933054451564752,1.9541644497383328,0.3740356674506653,58.37532641823917,13.37,-13.494791304347842
17,Lupin,LUPIN,72826.14,5.5,40.67,0.25,290.5224931,39.3,10.0565,36.855266579166205,Large Cap,0.25,2,1.9920647084850363,18.435557548294977,9.381175840804797,3.9017930988244527,17.49,0.24991026573700048,4.981704250692763,0.6762067459937198,12.658428216991208,11.475975561913504,42.630018790280566,107.38,13.542980276664515,0.10350578831493817,0.1040398472541122,-0.42620674599371977,36.855266579166205,3.79,-0.5288914285714287
18,Yes Bank,YESBANK,72552.6,1.78,70.06,0.0,14.1585836,0.36,2.5143350375523026,14.540778488104875,Large Cap,0.0,2,0.3,74.70570610433694,3.884171202093565,0.0,19.68,0.0,2.1522622613997844,0.8524867847787806,14.315278023886657,5.508082532503328,6.7840024834824115,-5.59,0.0,3.81817394146488,-0.1729632434095988,-0.8524867847787806,14.540778488104875,2.3,-1.51935
19,Info Edge (India),NAUKRI,73454.6,3.73,303.6,0.33,1523.644642,18.7,1.9089,115.85849886895109,Large Cap,0.33,10,0.36608298957687085,15.397189676692037,11.59157708257841,29.225813906671497,205.33,0.33370136111285065,5.6514719769366675,0.11648635539371312,0.5000641520666381,1.1622634517600232,377.1931806511246,185.08,0.021685146085851738,1.6204378872835696,-0.33999495791151124,0.2135136446062869,115.85849886895109,29.32,0.0
